language,Description,Title
arabic,"- **🌍 عوالم مشتركة أكثر منطقية بشكل ملحوظ**
  - لقد قمت بتحسين الاستمرارية عندما يشارك العديد من الشخصيات نفس العالم. الآن، يعيد استخدام اللعبة بشكل أفضل للأماكن الصالحة بالفعل ويترك مجالًا أقل لاختراع ""نفس المنطقة، ولكن باسم مختلف وقبعة مختلفة"".
  - قمت أيضًا بتصحيح معلومات الموقع في المحدد وفي الملف الشخصي، بحيث تعرض كل شخصية موقعها الفعلي وليس موقعًا مستعارًا من الجيران.
- **👥 شخصيات غير قابلة للعب (NPCs) أكثر اتساقًا وأقل ميلًا للانقسام**
  - لقد عززت المنطق بحيث تعود شخصية غير قابلة للعب موجودة للظهور كذاتها عندما يحين الوقت، بدلاً من إعادة اختراع نفسها باسم آخر أو بوجه آخر أو ببطاقة جديدة تظهر من العدم.
  - علاوة على ذلك، العداء الذي تسببه شخصية لم يعد من المفترض أن يلوث جميع الآخرين بالسحر. إذا غضب كايلين منك، فالفكرة هي أن يغضب منك... وليس من الجنس البشري بأكمله.
- **🎬 بداية اللعبة والاستكشاف مع قدر أقل من الدراما الغريبة**
  - لقد قمت بتصحيح حالات متعددة حيث ألمح السرد إلى وجود شخص أمامك، لكن النظام لم يدعمه من الأسفل. الآن هناك عدد أقل من البائعين الوهميين، وعدد أقل من المتحدثين الذين يتبخرون، وعدد أقل من المشاهد التي تبدو وكأنها مسرحية تجريبية بميزانية محدودة.
  - قللت أيضًا من الحالات التي كانت فيها الذكاء الاصطناعي يضع هدايا أو مخزونًا أو عناصر سردية في أماكن غير مناسبة، خاصة عند الوصول والمشاهد الأولى.
- **⚔️ قتال وقرارات مع عدد أقل من التعثرات**
  - لقد عززت الاستمرارية بين الاستكشاف والقتال بحيث يعتمد الدخول في معركة بشكل أفضل على الشخصيات غير القابلة للعب الموجودة بالفعل وليس على دخان السرد.
  - قمت أيضًا بتصحيح حالات تعثر متعددة حيث استمر المشهد، لكن الواجهة وقعت في قرارات ضعيفة أو عامة. عدد أقل من ""متابعة"" لمجرد السبب، والمزيد من الخيارات ذات النية الحقيقية.
- **🧬 إنشاء شخصية وإعدادات أكثر موثوقية**
  - أصبح إنشاء الشخصية العشوائي أكثر استقرارًا ويعيد احترام تنسيق السيرة الذاتية الذي تتوقعه اللعبة بشكل أفضل.
  - لقد قمت بتعديل العديد من التناقضات في الإعدادات والموارد حتى لا تختلط السايبربانك، والفانتازيا، ومشتقاتها كما لو أن حانة القرون الوسطى وغرفة عمليات سرية قررت استئجار نفس المكان.",عوالم مشتركة، بدء تشغيل، وقتال أكثر اتساقًا
bulgarian,"- **🌍 Доста по-смислени споделени светове**
  - Подобрих последователността, когато няколко героя споделят един и същ свят. Сега играта по-добре използва повторно вече валидни места и оставя по-малко място за измисляне на „същата зона, но с друго име и друга шапка“.
  - Коригирах и информацията за местоположението в селектора и в досието, така че всеки герой да показва реалното си местоположение, а не заето от съседа.
- **👥 По-последователни и по-малко раздвояващи се NPC**
  - Подсилих логиката, така че вече съществуващ NPC да се появява отново като себе си, когато е уместно, вместо да се преоткрива с друго име, друго лице или нова карта, изплувала от мъглата.
  - Освен това, вражда, предизвикана от един герой, вече не би трябвало да заразява всички останали по магически път. Ако Каелън ти се ядоса, идеята е той да ти се ядоса на теб... а не на целия човешки род.
- **🎬 Въвеждане в игра и изследване с по-малко странен театър**
  - Коригирах няколко случая, в които наративът подсказваше, че някой е пред теб, но системата не го подкрепяше отдолу. Сега има по-малко призрачни търговци, по-малко изпаряващи се събеседници и по-малко сцени, които приличат на експериментална пиеса без бюджет.
  - Също така намалих случаите, в които AI е вмъквал подаръци, стоки или наративни предмети, където не им е мястото, особено при влизания и първи сцени.
- **⚔️ Битки и решения с по-малко спънки**
  - Подсилих последователността между изследване и битка, така че влизането в бой да зависи по-добре от реално присъстващи NPC, а не от наративен дим.
  - Коригирах и няколко заклещвания, при които сцената продължаваше да е активна, но интерфейсът попадаше в лоши или общи решения. По-малко „Продължи“ ей така, повече опции с реално намерение.
- **🧬 Създаване на герои и по-надеждни обстановки**
  - Случайното създаване на герои отново е по-стабилно и по-добре спазва биографичния формат, който играта очаква.
  - Нагласих няколко несъответствия в обстановката и ресурсите, така че киберпънк, фентъзи и техните производни да не се смесват, сякаш средновековна таверна и подполен хирургически кабинет са решили да наемат едно и също място.","Споделени светове, по-последователно въвеждане и битки"
czech,"- **🌍 Sdílené světy mnohem rozumnější**
  - Vylepšil jsem kontinuitu, když více postav sdílí stejný svět. Hra nyní lépe znovu používá již platná místa a ponechává méně prostoru pro vymýšlení „stejné oblasti, ale s jiným názvem a jiným kloboukem“.
  - Opravil jsem také informace o poloze v selektoru a na kartě, aby každá postava zobrazovala svou skutečnou polohu, nikoli půjčenou od souseda.
- **👥 Soudržnější NPC a méně náchylní k rozštěpení osobnosti**
  - Posílil jsem logiku, aby se již existující NPC vrátil jako sám sebou, když má, místo aby se vymýšlel s jiným jménem, jinou tváří nebo novou kartou vyšlou z mlhy.
  - Navíc nepřátelství vyvolané postavou by již nemělo magicky kontaminovat všechny ostatní. Pokud se na vás Kaelen naštve, je záměr, aby se naštval na vás... ne na celý lidský rod.
- **🎬 Nástupy do hry a průzkum s menším podivným divadlem**
  - Opravil jsem několik případů, kdy vyprávění naznačovalo, že před vámi někdo stojí, ale systém to zespodu nepodporoval. Nyní je méně přízračných prodejců, méně mizících mluvčích a méně scén, které vypadají jako nízkorozpočtová experimentální hra.
  - Také jsem snížil počet případů, kdy AI vkládala dárky, zásoby nebo narativní předměty tam, kam neměla, zejména při příchodech a v prvních scénách.
- **⚔️ Boj a rozhodnutí s menším počtem zakopnutí**
  - Posílil jsem kontinuitu mezi průzkumem a bojem, takže vstup do boje lépe závisí na skutečně přítomných NPC a ne na narativním kouři.
  - Opravil jsem také několik záseků, kde scéna běžela dál, ale rozhraní upadlo do špatných nebo obecných rozhodnutí. Méně „Pokračovat“ jen tak, více možností se skutečným záměrem.
- **🧬 Spolehlivější tvorba postav a prostředí**
  - Náhodná tvorba postav je opět stabilnější a lépe respektuje biografický formát, který hra očekává.
  - Upravil jsem několik nesrovnalostí v prostředí a zdrojích, aby se kyberpunk, fantasy a jejich odvozeniny nemíchaly, jako by se středověká krčma a ilegální operační sál rozhodly pronajmout si stejný prostor.","Sdílené světy, nástup a boj soudržnější"
danish,"- **🌍 Fælles verdener, der giver meget mere mening**
  - Jeg har forbedret kontinuiteten, når flere karakterer deler den samme verden. Spillet genbruger nu bedre eksisterende steder og giver mindre spillerum for at opfinde ""det samme område, men med et andet navn og en anden hat"".
  - Jeg har også rettet op på placeringsinformationen i vælgeren og på karakterkortet, så hver karakter viser sin faktiske placering og ikke en lånt fra naboen.
- **👥 Mere sammenhængende NPC'er og mindre tilbøjelige til at fordoble sig**
  - Jeg har styrket logikken, så en eksisterende NPC dukker op igen som sig selv, når det er meningen, i stedet for at opfinde sig selv med et andet navn, et andet ansigt eller et nyt kort ud af det blå.
  - Desuden bør en fjendtlighed fremprovokeret af én karakter ikke længere smitte alle andre som ved et trylleslag. Hvis Kaelen bliver vred på dig, er meningen, at han bliver vred på dig... ikke på hele menneskeheden.
- **🎬 Startscener og udforskning med mindre underlig teater**
  - Jeg har rettet flere tilfælde, hvor fortællingen antydede, at nogen stod foran dig, men systemet ikke understøttede det. Nu er der færre spøgelsesforhandlere, færre forsvindende samtalepartnere og færre scener, der ligner et eksperimentelt teaterstykke uden budget.
  - Jeg har også reduceret tilfælde, hvor AI'en placerede gaver, inventar eller narrative genstande, hvor de ikke hørte hjemme, især ved ankomster og indledende scener.
- **⚔️ Kamp og beslutninger med færre snublesten**
  - Jeg har styrket kontinuiteten mellem udforskning og kamp, så kampopstart afhænger bedre af faktisk tilstedeværende NPC'er og ikke af narrativ røg.
  - Jeg har også rettet flere fastlåste situationer, hvor scenen fortsatte, men brugergrænsefladen faldt tilbage til dårlige eller generiske valg. Mindre ""Fortsæt"" for ingenting, flere valg med reel hensigt.
- **🧬 Karakteroprettelse og mere pålidelige omgivelser**
  - Tilfældig karakteroprettelse er igen mere stabil og respekterer bedre det biografiske format, spillet forventer.
  - Jeg har justeret flere uoverensstemmelser i omgivelser og ressourcer, så cyberpunk, fantasy og deres derivater ikke blandes, som om en middelalderlig kro og en hemmelig operationsstue havde besluttet at leje samme lokale.","Fælles verdener, onboarding og kamp mere sammenhængende"
german,"- **🌍 Geteilte Welten deutlich sinnvoller**
  - Ich habe die Kontinuität verbessert, wenn mehrere Charaktere dieselbe Welt teilen. Das Spiel verwendet nun bereits gültige Orte besser wieder und lässt weniger Raum für die Erfindung von „derselben Zone, aber mit anderem Namen und anderem Hut“.
  - Außerdem habe ich die Standortinformationen in der Auswahl und im Profil korrigiert, sodass jeder Charakter seinen tatsächlichen Standort anzeigt und nicht den des Nachbarn.
- **👥 Kohärentere und weniger zwiespältige NPCs**
  - Ich habe die Logik verstärkt, damit ein bereits existierender NPC wieder als er selbst erscheint, wenn es an der Zeit ist, anstatt sich mit einem anderen Namen, einem anderen Gesicht oder einer neuen, aus dem Nebel aufgetauchten Karte neu zu erfinden.
  - Darüber hinaus sollte eine durch einen Charakter verursachte Feindschaft nicht mehr magisch alle anderen kontaminieren. Wenn Kaelen sauer auf dich ist, soll er sauer auf dich sein... nicht auf die gesamte menschliche Spezies.
- **🎬 Weniger seltsame theatralische Startsequenzen und Erkundung**
  - Ich habe verschiedene Fälle korrigiert, in denen die Erzählung andeutete, dass jemand vor dir stand, das System dies aber nicht unterstützte. Es gibt nun weniger Geisterverkäufer, weniger verdampfte Gesprächspartner und weniger Szenen, die wie ein experimentelles Theaterstück ohne Budget wirken.
  - Ich habe auch Fälle reduziert, in denen die KI Geschenke, Vorräte oder erzählerische Gegenstände an ungünstigen Stellen platzierte, insbesondere bei Ankünften und in den ersten Szenen.
- **⚔️ Weniger stolpernde Kämpfe und Entscheidungen**
  - Ich habe die Kontinuität zwischen Erkundung und Kampf verstärkt, damit der Kampf besser von tatsächlich vorhandenen NPCs und nicht von erzählerischem Rauch abhängt.
  - Ich habe auch verschiedene Blockaden behoben, bei denen die Szene noch lief, die Benutzeroberfläche aber in schlechte oder generische Entscheidungen verfiel. Weniger „Weiter“ um des Weiterseins willen, mehr Optionen mit echter Absicht.
- **🧬 Zuverlässigere Charaktererstellung und Umgebungen**
  - Die zufällige Charaktererstellung ist wieder stabiler und respektiert das vom Spiel erwartete biografische Format besser.
  - Ich habe verschiedene Inkonsistenzen bei Umgebungen und Ressourcen angepasst, damit Cyberpunk, Fantasy und ihre Derivate nicht vermischt werden, als hätten eine mittelalterliche Taverne und ein illegaler Operationssaal beschlossen, denselben Ort zu mieten.","Geteilte Welten, kohärenteres Onboarding und Kampfsystem"
greek,"- **🌍 Σημαντικά πιο λογικοί κοινοί κόσμοι**
  - Βελτίωσα τη συνέπεια όταν πολλοί χαρακτήρες μοιράζονται τον ίδιο κόσμο. Τώρα το παιχνίδι επαναχρησιμοποιεί καλύτερα υπάρχουσες, έγκυρες τοποθεσίες και αφήνει λιγότερα περιθώρια για εφεύρεση «της ίδιας περιοχής, αλλά με άλλο όνομα και άλλο καπέλο».
  - Επίσης, διόρθωσα τις πληροφορίες τοποθεσίας στον επιλογέα και στην κάρτα, ώστε κάθε χαρακτήρας να εμφανίζει την πραγματική του τοποθεσία και όχι αυτή ενός γείτονα.
- **👥 Πιο λογικοί και λιγότερο επιρρεπείς σε διπλοπροσωπίες NPCs**
  - Ενίσχυσα τη λογική ώστε ένας υπάρχων NPC να επανεμφανίζεται ως ο εαυτός του όταν πρέπει, αντί να επινοεί εκ νέου με άλλο όνομα, άλλο πρόσωπο ή νέα κάρτα που ξεπροβάλλει από την ομίχλη.
  - Επιπλέον, μια εχθρότητα που προκλήθηκε από έναν χαρακτήρα δεν θα πρέπει πλέον να μολύνει μαγικά όλους τους άλλους. Αν ο Kaelen θυμώσει μαζί σου, η ιδέα είναι να θυμώσει μαζί σου... όχι με ολόκληρο το ανθρώπινο είδος.
- **🎬 Λιγότερο παράξενες εισαγωγές και εξερευνήσεις**
  - Διόρθωσα διάφορες περιπτώσεις όπου η αφήγηση υπαινισσόταν ότι κάποιος βρισκόταν μπροστά σου, αλλά το σύστημα δεν το υποστήριζε από κάτω. Τώρα υπάρχουν λιγότεροι φανταστικοί πωλητές, λιγότεροι εξαφανιζόμενοι συνομιλητές και λιγότερες σκηνές που μοιάζουν με πειραματικό έργο χωρίς προϋπολογισμό.
  - Επίσης, μείωσα τις περιπτώσεις όπου η AI τοποθετούσε δώρα, αποθέματα ή αφηγηματικά αντικείμενα όπου δεν έπρεπε, ειδικά στις εισόδους και στις πρώτες σκηνές.
- **⚔️ Λιγότερα εμπόδια στη μάχη και στις αποφάσεις**
  - Ενίσχυσα τη συνέχεια μεταξύ εξερεύνησης και μάχης, ώστε η έναρξη μιας μάχης να βασίζεται καλύτερα σε πραγματικά παρόντες NPCs και όχι σε αφηγηματικό καπνό.
  - Επίσης, διόρθωσα διάφορα μπλοκαρίσματα όπου η σκηνή συνέχιζε να είναι ενεργή, αλλά η διεπαφή έπεφτε σε κακές ή γενικές αποφάσεις. Λιγότερο «Συνέχεια» από μόνο του, περισσότερες επιλογές με πραγματική πρόθεση.
- **🧬 Πιο αξιόπιστη δημιουργία χαρακτήρα και ατμόσφαιρες**
  - Η τυχαία δημιουργία χαρακτήρα είναι και πάλι πιο σταθερή και σέβεται καλύτερα τη βιογραφική μορφή που αναμένει το παιχνίδι.
  - Προσάρμοσα διάφορες ασυνέπειες ατμόσφαιρας και πόρων, ώστε το cyberpunk, η φαντασία και τα παράγωγά τους να μην αναμειγνύονται σαν μια μεσαιωνική ταβέρνα και ένα παράνομο χειρουργείο να αποφάσισαν να νοικιάσουν τον ίδιο χώρο.","Κοινότεροι κόσμοι, συνεπέστερη εισαγωγή και μάχη"
english,"- **🌍 Much More Sensible Shared Worlds**
  - I've improved continuity when multiple characters share the same world. The game now reuses valid locations better, leaving less room for inventing ""the same zone, but with a different name and hat.""
  - I've also corrected location information in the selector and character sheet, so each character shows their real location, not one borrowed from their neighbor.
- **👥 More Consistent NPCs and Less Prone to Splitting**
  - I've reinforced the logic so that an existing NPC reappears as themselves when appropriate, instead of reinventing themselves with a new name, face, or a card pulled from the mist.
  - Furthermore, an enmity triggered by one character should no longer magically contaminate all others. If Kaelen gets angry with you, the idea is that they get angry with you... not with the entire human race.
- **🎬 Smoother Starting Scenes and Exploration with Less Weirdness**
  - I've fixed several cases where the narration implied someone was in front of you, but the system didn't support it underneath. There are now fewer ghost vendors, fewer evaporated interlocutors, and fewer scenes that feel like a low-budget experimental play.
  - I've also reduced instances where the AI inserted gifts, stock, or narrative items where they didn't belong, especially during arrivals and initial scenes.
- **⚔️ Combat and Decisions with Fewer Stumbles**
  - I've reinforced continuity between exploration and combat so that entering a fight depends better on actually present NPCs and not narrative smoke.
  - I've also fixed several stalls where the scene remained active, but the interface fell into poor or generic decisions. Less ""Continue"" for the sake of it, more options with real intent.
- **🧬 More Reliable Character Creation and Settings**
  - Random character creation is now more stable and better respects the biographical format the game expects.
  - I've adjusted several inconsistencies in setting and resources so that cyberpunk, fantasy, and their derivatives don't blend as if a medieval tavern and a clandestine operating room had decided to rent the same space.","More Consistent Shared Worlds, Onboarding, and Combat"
spanish,"- **🌍 Mundos compartidos bastante más sensatos**
  - He mejorado la continuidad cuando varios personajes comparten el mismo mundo. Ahora el juego reaprovecha mejor lugares ya válidos y deja menos margen para inventarse “la misma zona, pero con otro nombre y otro sombrero”.
  - También he corregido la información de ubicación en el selector y en la ficha, para que cada personaje muestre su localización real y no una prestada del vecino.
- **👥 PNJs más coherentes y menos dados al desdoblamiento**
  - He reforzado la lógica para que un PNJ ya existente vuelva a aparecer como él mismo cuando toca, en vez de reinventarse con otro nombre, otra cara o una tarjeta nueva salida de la niebla.
  - Además, una enemistad provocada por un personaje ya no debería contaminar a todos los demás por arte de magia. Si Kaelen se enfada contigo, la idea es que se enfade contigo... no con la especie humana entera.
- **🎬 Entradas de partida y exploración con menos teatro raro**
  - He corregido varios casos en los que la narración insinuaba que alguien estaba delante de ti, pero el sistema no lo sostenía por debajo. Ahora hay menos vendedores fantasma, menos interlocutores evaporados y menos escenas que parecen una obra experimental sin presupuesto.
  - También he reducido casos en los que la IA colaba regalos, stock o ítems narrativos donde no tocaba, especialmente en las llegadas y primeras escenas.
- **⚔️ Combate y decisiones con menos tropiezos**
  - He reforzado la continuidad entre exploración y combate para que la entrada en pelea dependa mejor de PNJs realmente presentes y no de humo narrativo.
  - También he corregido varios atascos donde la escena seguía viva, pero la interfaz caía en decisiones pobres o genéricas. Menos “Continuar” porque sí, más opciones con intención real.
- **🧬 Creación de personaje y ambientaciones más fiables**
  - La creación aleatoria de personaje vuelve a ser más estable y respeta mejor el formato biográfico que espera el juego.
  - He ajustado varias incoherencias de ambientación y recursos para que cyberpunk, fantasía y sus derivados no se mezclen como si una taberna medieval y un quirófano clandestino hubieran decidido alquilar el mismo local.","Mundos compartidos, onboarding y combate más coherentes"
latam,"- **🌍 Mundos compartidos mucho más sensatos**
  - He mejorado la continuidad cuando varios personajes comparten el mismo mundo. Ahora el juego reutiliza mejor las ubicaciones ya válidas y deja menos margen para inventarse ""la misma zona, pero con otro nombre y otro sombrero"".
  - También he corregido la información de ubicación en el selector y en la ficha, para que cada personaje muestre su localización real y no una prestada del vecino.
- **👥 PNJs más coherentes y menos dados al desdoblamiento**
  - He reforzado la lógica para que un PNJ ya existente vuelva a aparecer como él mismo cuando corresponde, en lugar de reinventarse con otro nombre, otra cara o una tarjeta nueva salida de la nada.
  - Además, una enemistad provocada por un personaje ya no debería contaminar a todos los demás de forma mágica. Si Kaelen se enfada contigo, la idea es que se enfade contigo... no con la especie humana entera.
- **🎬 Entradas de partida y exploración con menos teatro extraño**
  - He corregido varios casos en los que la narración insinuaba que alguien estaba delante de ti, pero el sistema no lo respaldaba. Ahora hay menos vendedores fantasma, menos interlocutores evaporados y menos escenas que parecen una obra experimental sin presupuesto.
  - También he reducido casos en los que la IA colaba regalos, existencias o elementos narrativos donde no correspondía, especialmente en las llegadas y primeras escenas.
- **⚔️ Combate y decisiones con menos tropiezos**
  - He reforzado la continuidad entre exploración y combate para que la entrada en pelea dependa mejor de PNJs realmente presentes y no de humo narrativo.
  - También he corregido varios atascos donde la escena seguía activa, pero la interfaz caía en decisiones pobres o genéricas. Menos ""Continuar"" porque sí, más opciones con intención real.
- **🧬 Creación de personaje y ambientaciones más fiables**
  - La creación aleatoria de personaje vuelve a ser más estable y respeta mejor el formato biográfico que espera el juego.
  - He ajustado varias incoherencias de ambientación y recursos para que cyberpunk, fantasía y sus derivados no se mezclen como si una taberna medieval y un quirófano clandestino hubieran decidido alquilar el mismo local.","Mundos compartidos, incorporación y combate más coherentes"
finnish,"- **🌍 Selvästi järkevämpiä yhteisiä maailmoja**
  - Olen parantanut jatkuvuutta, kun useampi hahmo jakaa saman maailman. Nyt peli hyödyntää paremmin jo olemassa olevia paikkoja ja jättää vähemmän tilaa mielikuvituksellisille ""samalle alueelle eri nimellä ja eri hatulla"".
  - Olen myös korjannut sijaintitietoja valitsimessa ja hahmokortissa, jotta jokainen hahmo näyttää todellisen sijaintinsa eikä naapurin lainaamaansa.
- **👥 Johdonmukaisemmat NPC:t ja vähemmän kaksoisolentoja**
  - Olen vahvistanut logiikkaa niin, että jo olemassa oleva NPC ilmestyy takaisin omana itsenään silloin kun sen pitäisi, sen sijaan että se keksittäisiin uudelleen eri nimellä, eri kasvoilla tai sumusta ilmestyneenä uutena korttina.
  - Lisäksi hahmon aiheuttaman vihamielisyyden ei pitäisi enää maagisesti levitä kaikkiin muihin. Jos Kaelen suuttuu sinulle, ideana on, että hän suuttuu sinulle... ei koko ihmislajille.
- **🎬 Vähemmän outoa teatteria aloituksissa ja tutkimusmatkoilla**
  - Olen korjannut useita tapauksia, joissa kerronta antoi ymmärtää jonkun olevan edessäsi, mutta järjestelmä ei tukenut sitä. Nyt on vähemmän kummitusmyyjiä, vähemmän haihtuneita keskustelukumppaneita ja vähemmän kohtauksia, jotka muistuttavat budjetiltaan köyhää kokeellista näytelmää.
  - Olen myös vähentänyt tapauksia, joissa tekoäly ujutti lahjoja, varastoa tai tarinallisia esineitä vääriin paikkoihin, erityisesti saapumis- ja alkukohtauksissa.
- **⚔️ Vähemmän kompasteluja taistelussa ja päätöksissä**
  - Olen vahvistanut jatkuvuutta tutkimisen ja taistelun välillä, jotta taisteluun siirtyminen riippuu paremmin todella läsnä olevista NPC:istä eikä tarinallisesta savusta.
  - Olen myös korjannut useita jumituksia, joissa kohtaus jatkui, mutta käyttöliittymä päätyi huonoihin tai yleisiin päätöksiin. Vähemmän ""Jatka"" ilman syytä, enemmän todellisia ja tarkoituksellisia valintoja.
- **🧬 Luotettavampi hahmonluonti ja ympäristöt**
  - Hahmon satunnainen luonti on taas vakaampi ja kunnioittaa paremmin pelin odottamaa elämäkertamuotoa.
  - Olen korjannut useita ympäristö- ja resurssien epäjohdonmukaisuuksia, jotta cyberpunk, fantasia ja niiden johdannaiset eivät sekoitu kuin keskiaikainen taverna ja salainen leikkaussali olisivat vuokranneet saman tilan.","Yhteisemmät maailmat, johdonmukaisempi perehdytys ja taistelu"
